Latitude,Longitude,Radius,Depth
43.1438,308.0368,10.4951,-2539.237549
43.0851,308.2268,11.1973,-2561.537354
42.9682,308.0737,6.6556,-2550.769775
43.0601,308.1463,12.0788,-2554.234619
42.9772,308.2361,9.0628,-2561.577881
43.0906,308.1795,11.4984,-2556.690918
42.9563,308.2648,22.9599,-2564.72998
43.0013,308.0369,14.592,-2542.432617
42.9457,308.1422,26.2052,-2552.677002
42.8973,308.2713,8.7802,-2560.744629
42.8718,308.1304,25.1339,-2551.025391
43.0074,308.2133,9.9634,-2562.825684
43.1118,308.1514,12.9154,-2563.113525
43.0538,308.2052,7.9185,-2561.072754
42.9992,308.2708,9.3721,-2570.109375
43.0677,308.2018,12.4661,-2559.616211
43.0897,308.0825,11.6441,-2550.523438
43.1562,308.1012,23.9052,-2548.526123
42.872,308.065,6.5349,-2545.989746
42.8772,308.1327,8.7389,-2549.716553
43.0036,308.1526,9.0252,-2558.176758
43.1378,308.2681,7.1805,-2561.900635
42.8955,308.0563,8.4939,-2544.56958
42.9185,308.1822,7.4526,-2551.875977
43.1391,308.1534,9.0142,-2554.802002
43.0733,308.1439,27.0503,-2555.215088
43.1254,308.1228,8.7731,-2552.563232
43.1397,308.1342,7.2167,-2548.876221
43.1137,308.2612,8.4996,-2562.282959
42.9361,308.06,17.4827,-2549.115967
42.8952,308.142,24.2915,-2548.01709
43.0693,308.1909,9.5132,-2558.503174
43.04,308.2321,9.4393,-2562.884766
42.9536,308.2297,10.1879,-2559.175781
43.0029,308.2063,5.9125,-2564.131592
43.0343,308.1506,8.181,-2557.808838
42.9779,308.2418,9.6771,-2563.051025
43.0322,308.2689,13.1352,-2566.854248
43.0021,308.1014,13.4543,-2550.990723
42.9833,308.2364,9.1288,-2561.322021
43.0838,308.2768,32.35,-2571.961426
42.9351,308.1822,7.2423,-2553.165039
42.9043,308.229,12.6557,-2559.897705
42.9677,308.2528,8.7939,-2563.663574
43.1531,308.0912,27.8864,-2544.905762
43.0635,308.1042,12.5502,-2548.605957
42.9898,308.1023,11.5441,-2549.049072
42.9315,308.1605,7.663,-2554.621826
42.9789,308.2827,13.7435,-2566.200684
42.8881,308.1332,5.9724,-2548.272705
43.0231,308.2712,8.3156,-2571.9646
43.0749,308.2366,11.472,-2562.271729
43.0613,308.1676,8.965,-2560.555908
42.9873,308.1982,11.25,-2561.639404
43.0554,308.1399,8.5457,-2552.106689
43.0046,308.208,12.4079,-2562.760986
42.9628,308.2973,8.4119,-2567.295166
43.1136,308.1236,23.2972,-2553.731201
42.9196,308.2447,24.1986,-2563.06543
43.1197,308.2673,11.0349,-2563.054199
42.9787,308.1934,24.3748,-2558.34668
43.1196,308.1734,13.9129,-2555.500488
43.1379,308.2619,10.0577,-2561.998291
42.9834,308.2406,7.6532,-2560.489258
43.0358,308.2012,13.1487,-2564.695801
43.0378,308.125,11.3716,-2553.141357
42.865,308.0554,9.2982,-2542.65625
42.9647,308.2152,14.7261,-2557.984131
43.0118,308.2961,10.1233,-2571.883545
43.0371,308.166,7.623,-2558.582764
43.0047,308.2047,25.5296,-2562.729736
42.9896,308.2571,9.3079,-2575.767578
43.1448,308.3015,15.1372,-2565.088135
43.1116,308.0521,10.6148,-2545.786377
43.1333,308.2145,7.8452,-2559.5271
43.0924,308.0753,15.0982,-2545.113525
43.025,308.2208,11.3333,-2565.789307
43.0171,308.2165,8.9469,-2564.623535
42.9884,308.2307,10.5161,-2561.73291
43.1216,308.1183,8.8737,-2555.647461
43.0668,308.0985,12.8938,-2547.666748
43.036,308.2164,9.7094,-2561.166016
43.0362,308.0546,8.1801,-2543.98877
43.0104,308.2167,11.7749,-2560.649902
42.9741,308.2247,11.4288,-2559.516846
43.0408,308.2946,12.5018,-2568.432617
43.0347,308.2099,11.6587,-2564.767822
43.0047,308.0692,10.0155,-2547.571777
43.0712,308.1345,11.539,-2554.243164
43.1021,308.2688,9.5156,-2564.306152
43.0417,308.0393,18.2391,-2547.079834
43.0258,308.0268,11.793,-2543.379883
42.9646,308.2127,6.6198,-2556.502686
43.0425,308.056,11.9953,-2546.00415
43.0204,308.174,7.6506,-2560.838379
43.1051,308.2987,29.0576,-2564.227539
42.955,308.2234,6.5974,-2561.938965
43.0327,308.1844,9.1163,-2560.062256
43.0031,308.2268,8.4481,-2563.92334
43.1437,308.2639,9.1936,-2560.682861
43.0454,308.0525,8.7423,-2547.501221
43.1333,308.0782,12.9567,-2545.988525
42.9949,308.2568,9.2466,-2565.212646
43.1203,308.2452,15.2894,-2559.765869
43.1106,308.1924,6.6899,-2559.186279
43.1056,308.2563,7.5149,-2562.513916
42.9969,308.1444,12.9841,-2557.102051
43.0201,308.3022,9.7468,-2572.876465
43.0215,308.1632,13.048,-2560.259521
42.9684,308.1687,20.21,-2552.64624
42.9821,308.0922,9.3439,-2550.878418
42.9718,308.1769,21.2739,-2556.103271
42.9798,308.2443,7.4069,-2562.949951
43.0083,308.1209,12.4251,-2552.887451
42.9947,308.076,38.8807,-2550.151855
43.0116,308.2305,9.8033,-2562.66333
42.9076,308.2735,21.5586,-2562.890381
43.0301,308.2325,10.7034,-2560.724854
42.9674,308.2825,9.072,-2567.737061
42.9074,308.1238,7.3305,-2548.490723
42.9843,308.2459,23.8768,-2561.189941
43.003,308.2479,9.3291,-2567.319824
42.9723,308.0809,12.3884,-2550.499268
43.0742,308.1726,10.0972,-2559.525879
42.9162,308.0262,27.4233,-2544.165771
43.0093,308.1582,10.3132,-2560.971924
42.9839,308.2958,24.9513,-2572.510254
42.9711,308.22,7.9114,-2558.468994
43.0407,308.1594,10.6061,-2559.80127
43.0413,308.0378,21.5117,-2550.448486
43.055,308.128,9.6389,-2551.082764
43.1432,308.0665,23.6827,-2546.320068
43.0417,308.0321,7.8742,-2541.442139
42.9671,308.2812,7.5018,-2567.867432
42.9726,308.2244,11.7996,-2559.412109
43.1555,308.2502,24.4921,-2561.234619
43.0135,308.1836,10.5943,-2562.627197
42.9714,308.0518,23.5455,-2546.448486
43.0184,308.2641,17.7371,-2570.575195
42.9848,308.2575,14.9604,-2570.015137
43.0815,308.0316,9.7695,-2543.984863
42.9828,308.2299,11.6418,-2558.978027
42.9748,308.2839,11.715,-2568.655518
42.9782,308.2524,6.9114,-2561.145508
42.9255,308.2963,10.8059,-2565.310059
42.9847,308.2668,10.6074,-2563.990723
43.0358,308.2714,26.6665,-2568.355957
43.0121,308.2224,8.2835,-2561.86377
42.9041,308.1223,10.7335,-2548.538818
42.8663,308.1975,19.4609,-2554.495117
43.0351,308.0852,11.6734,-2548.609863
42.9925,308.2592,9.2544,-2565.848145
42.9939,308.2127,10.1889,-2563.310303
42.9441,308.0254,7.7925,-2544.604736
42.9554,308.2395,7.8629,-2561.919922
43.0343,308.0367,18.1715,-2546.4375
43.104,308.3013,8.6946,-2565.271729
43.0118,308.2553,11.5847,-2569.147217
43.1506,308.1945,11.4494,-2558.846924
42.9792,308.1403,23.6849,-2551.205322
42.9461,308.2055,9.0153,-2557.358154
42.9798,308.3002,9.5417,-2571.302979
42.9428,308.2844,6.5228,-2563.28418
42.8906,308.053,9.9463,-2545.799316
43.1151,308.0971,9.7959,-2549.644775
42.9858,308.0845,68.1812,-2548.102051
42.9314,308.2432,11.7753,-2561.896729
42.9859,308.2642,9.7102,-2562.819092
43.0836,308.0375,8.8441,-2544.507324
43.0128,308.3033,8.2849,-2571.98584
42.9156,308.053,11.0423,-2545.615234
42.9311,308.2082,10.1571,-2559.494385
43.0252,308.1793,9.6121,-2562.205322
42.9429,308.2802,19.4722,-2564.096191
43.1573,308.2622,8.7639,-2561.148438
42.9149,308.2097,10.3438,-2558.863525
42.9212,308.2468,12.958,-2561.05542
42.8999,308.1685,9.3409,-2551.984863
43.0241,308.1788,25.1612,-2560.621582
43.0525,308.1308,10.4826,-2551.41748
43.1212,308.2689,10.2305,-2562.841064
43.0035,308.1897,6.4162,-2562.11084
43.0931,308.3008,10.1651,-2567.93335
42.9319,308.0708,8.8258,-2544.984863
43.0056,308.2392,11.0658,-2566.324463
43.043,308.1475,10.4168,-2554.874512
43.1254,308.2945,10.3738,-2563.692383
43.0796,308.2753,15.0996,-2566.2771
42.9443,308.1424,13.6178,-2551.693604
42.9436,308.0645,10.2311,-2548.593018
43.1007,308.2445,7.3219,-2562.359375
43.0764,308.0419,10.56,-2545.348145
43.037,308.1616,9.3493,-2558.754639
42.9764,308.1382,18.3875,-2552.084717
43.1092,308.1016,13.0267,-2549.983643
42.953,308.1051,7.2025,-2557.063477
42.9409,308.2974,8.7962,-2565.192383
42.9938,308.259,10.233,-2565.695801
43.0435,308.2273,9.0292,-2561.068115
42.9036,308.1794,13.124,-2554.640869
42.9795,308.2313,13.1094,-2560.007813
43.0474,308.0563,14.7758,-2549.226074
42.9951,308.2505,12.9215,-2566.600586
43.0964,308.1481,7.3187,-2550.407715
42.8811,308.3062,25.3342,-2565.929932
42.889,308.0984,18.4663,-2546.100586
42.9441,308.251,13.4015,-2560.241211
42.8684,308.1775,8.8137,-2550.303955
43.0031,308.2099,12.5832,-2563.528564
42.8881,308.193,9.9815,-2554.942871
42.8876,308.2643,6.5566,-2561.771484
42.8751,308.0859,17.4874,-2547.602295
42.9001,308.2872,9.1633,-2562.255859
42.8944,308.1203,11.2167,-2547.936279
43.0403,308.0868,12.5542,-2548.942383
42.878,308.2426,10.6683,-2566.221191
42.921,308.0783,7.4016,-2547.527588
43.0074,308.1187,17.4272,-2552.575439
43.03,308.2514,9.9354,-2563.578613
42.9832,308.0394,6.5025,-2541.637695
43.0022,308.2364,10.9627,-2565.698486
42.8877,308.1529,10.3772,-2549.420166
42.895,308.0775,16.6874,-2546.448242
43.0285,308.0979,8.0737,-2549.748535
42.9378,308.2418,36.4066,-2560.483398
42.9675,308.277,11.2679,-2567.288574
43.0193,308.1874,8.8195,-2560.650146
43.11,308.1526,21.6218,-2558.152588
42.9702,308.291,8.6079,-2568.931885
42.9333,308.1755,10.4983,-2549.94165
43.067,308.2783,8.412,-2565.69165
43.1537,308.2745,7.4481,-2561.932861
42.9706,308.2096,12.5426,-2556.732178
42.9858,308.293,9.0179,-2567.128174
43.0159,308.2603,13.8757,-2569.181396
43.0194,308.2055,11.7016,-2563.904785
42.949,308.0761,8.7612,-2564.302002
42.9851,308.3035,12.0841,-2569.974854
43.0026,308.2925,12.062,-2571.299316
42.9834,308.217,10.6697,-2558.563721
42.9053,308.1212,9.0101,-2549.486084
42.9544,308.2964,8.0165,-2573.491455
43.1164,308.0521,9.4454,-2543.742676
42.9553,308.085,6.5494,-2545.184082
42.9944,308.2729,10.739,-2568.105225
42.9915,308.2594,14.666,-2568.595947
43.0745,308.2412,11.7244,-2562.962158
43.0264,308.2307,7.6297,-2568.401367
43.119,308.2855,12.2717,-2564.760254
43.0752,308.2723,23.9252,-2566.276855
42.9126,308.2165,23.4663,-2556.669922
43.1457,308.1067,7.8141,-2548.697266
42.8885,308.15,8.3023,-2549.636719
42.977,308.3051,9.4311,-2568.030029
42.8693,308.1753,8.8638,-2550.150391
42.9435,308.2457,11.9409,-2559.961182
42.9585,308.0565,12.8114,-2545.327637
43.1454,308.2768,8.04,-2562.70459
43.0056,308.2253,8.3369,-2563.779785
42.8942,308.0509,9.9243,-2545.540283
42.8635,308.0402,9.0219,-2548.089111
43.046,308.2689,8.7495,-2566.819092
42.93,308.0456,7.1607,-2549.269531
43.0538,308.0456,28.9236,-2547.09082
42.9615,308.2966,6.974,-2566.693848
43.1577,308.1173,14.3645,-2548.562744
42.9072,308.1431,9.512,-2549.780029
42.97,308.1618,11.1796,-2553.293213
43.0263,308.1872,8.0903,-2561.219482
42.9894,308.1325,9.8141,-2554.292236
43.0131,308.3022,7.7266,-2569.998291
43.0983,308.1583,7.9825,-2554.806396
43.0329,308.2694,6.8163,-2566.132324
43.0454,308.1544,7.5106,-2555.924072
42.9291,308.3035,24.5073,-2565.695313
42.982,308.2738,8.004,-2565.08252
43.0936,308.1282,7.4645,-2556.467041
42.8766,308.0869,9.1331,-2547.609131
42.9603,308.1545,24.5312,-2553.298828
42.8901,308.3,9.3202,-2564.779785
43.1184,308.1205,8.9154,-2552.266357
42.8812,308.229,27.199,-2565.314941
42.929,308.225,11.9101,-2559.351318
42.9351,308.2358,10.5521,-2558.231445
42.9057,308.1686,14.3482,-2547.898682
42.9883,308.1309,34.0305,-2554.95752
43.0364,308.1396,8.5418,-2556.880859
42.9408,308.0667,24.4466,-2549.412354
42.9234,308.2406,17.0791,-2560.080566
42.9503,308.028,13.5042,-2544.932129
43.1473,308.2364,12.7633,-2560.523682
43.0808,308.0337,7.1718,-2547.622314
42.9825,308.2002,9.2874,-2559.725586
42.9727,308.1214,7.3992,-2549.485596
43.0184,308.1429,25.3785,-2553.0979
42.9529,308.128,7.9923,-2550.648682
42.8994,308.0856,8.1782,-2547.174561
43.0538,308.1904,6.9833,-2559.079346
43.1305,308.1604,11.3128,-2556.173828
43.0271,308.2112,11.5155,-2562.744629
